,precision,recall,f1-score,support
chinh-tri-chinh-sach,0.375,0.3333333333333333,0.35294117647058826,18.0
covid-19,0.2916666666666667,0.3888888888888889,0.3333333333333333,18.0
giao-duc-tri-thuc,0.85,0.8947368421052632,0.8717948717948718,19.0
kinh-doanh-quan-tri,0.6,0.6521739130434783,0.625,23.0
moi-truong,0.27586206896551724,0.47058823529411764,0.34782608695652173,17.0
van-hoa-loi-song,0.8,0.5161290322580645,0.6274509803921569,31.0
y-te-suc-khoe,0.5416666666666666,0.40625,0.4642857142857143,32.0
accuracy,0.5189873417721519,0.5189873417721519,0.5189873417721519,0.5189873417721519
macro avg,0.5334564860426929,0.5231571778461637,0.5175188804618837,158.0
weighted avg,0.5618543576313109,0.5189873417721519,0.5285646232160364,158.0
