,precision,recall,f1-score,support
Bùi Mẫn,0.6,0.6,0.6,5.0
Cẩm Hà,0.6666666666666666,0.8571428571428571,0.75,7.0
Hoàng Anh Tú,1.0,0.2,0.3333333333333333,5.0
Hà Đức Trí,1.0,0.5,0.6666666666666666,6.0
Hồ Quốc Tuấn,0.75,0.6,0.6666666666666666,5.0
Jesse Peterson,0.6363636363636364,0.875,0.7368421052631579,8.0
Lang Minh,0.6666666666666666,0.2857142857142857,0.4,7.0
Lê Tuyết,0.6,0.5,0.5454545454545454,6.0
Lưu Đình Long,0.6666666666666666,0.8,0.7272727272727273,10.0
Nguyễn Lân Hiếu,1.0,0.625,0.7692307692307693,8.0
Nguyễn Nam Cường,0.8571428571428571,1.0,0.9230769230769231,6.0
Nguyễn Văn Tuấn,1.0,0.7142857142857143,0.8333333333333334,7.0
Nguyễn Đăng Anh Thi,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Phạm Thanh Tuấn,0.5714285714285714,1.0,0.7272727272727273,4.0
Quan Thế Dân,0.7647058823529411,0.8125,0.7878787878787878,16.0
Trình Phương Quân,0.42857142857142855,0.8571428571428571,0.5714285714285714,7.0
Trần Văn Phúc,0.7857142857142857,1.0,0.88,11.0
Tô Thức,0.5,0.14285714285714285,0.2222222222222222,7.0
Võ Nhật Vinh,0.631578947368421,0.631578947368421,0.631578947368421,19.0
Đặng Hùng Võ,0.75,0.75,0.75,8.0
accuracy,0.6962025316455697,0.6962025316455697,0.6962025316455697,0.6962025316455697
macro avg,0.7294895661613927,0.6792277568922305,0.6645744547849811,158.0
weighted avg,0.7248945953525253,0.6962025316455697,0.6796324310081806,158.0
