,precision,recall,f1-score,support
chinh-tri-chinh-sach,0.75,0.6,0.6666666666666666,15.0
covid-19,0.3076923076923077,0.2222222222222222,0.25806451612903225,18.0
giao-duc-tri-thuc,0.7,0.6666666666666666,0.6829268292682927,21.0
kinh-doanh-quan-tri,0.875,0.5,0.6363636363636364,28.0
moi-truong,0.5588235294117647,0.8260869565217391,0.6666666666666666,23.0
van-hoa-loi-song,0.5,0.5833333333333334,0.5384615384615384,24.0
y-te-suc-khoe,0.5142857142857142,0.6206896551724138,0.5625,29.0
accuracy,0.5822784810126582,0.5822784810126582,0.5822784810126582,0.5822784810126582
macro avg,0.6008287930556838,0.5741426905594823,0.5730928362222618,158.0
weighted avg,0.6060486609444167,0.5822784810126582,0.5783146631617012,158.0
